id,timestamp,user,text,ticker,company,mentioned_person
ner_0,2025-10-01T10:18:43.468431,user_2717,Elon Musk of Bank of America Corporation commented on strategy. $BAC reacts to the news. Analysts: upgrade.,BAC,Bank of America Corporation,Elon Musk
ner_1,2025-02-04T16:18:43.468431,user_2002,"Jensen Huang of Tesla, Inc commented on strategy. $TSLA reacts to the news. Analysts: hold.",TSLA,"Tesla, Inc",Jensen Huang
ner_2,2025-02-21T23:18:43.468431,user_2855,Jensen Huang of Apple Inc commented on strategy. $AAPL reacts to the news. Analysts: downgrade.,AAPL,Apple Inc,Jensen Huang
ner_3,2025-03-26T07:18:43.468431,user_2547,Sundar Pichai of NVIDIA Corporation commented on strategy. $NVDA reacts to the news. Analysts: upgrade.,NVDA,NVIDIA Corporation,Sundar Pichai
ner_4,2025-05-22T17:18:43.468431,user_2155,Elon Musk of Alphabet Inc commented on strategy. $GOOG reacts to the news. Analysts: hold.,GOOG,Alphabet Inc,Elon Musk
ner_5,2025-07-02T03:18:43.468431,user_169,"Sundar Pichai of Meta Platforms, Inc commented on strategy. $META reacts to the news. Analysts: upgrade.",META,"Meta Platforms, Inc",Sundar Pichai
ner_6,2025-05-11T10:18:43.468431,user_2421,Warren Buffett of JPMorgan Chase & Co. commented on strategy. $JPM reacts to the news. Analysts: downgrade.,JPM,JPMorgan Chase & Co.,Warren Buffett
ner_7,2025-05-25T04:18:43.468431,user_1499,Andy Jassy of JPMorgan Chase & Co. commented on strategy. $JPM reacts to the news. Analysts: hold.,JPM,JPMorgan Chase & Co.,Andy Jassy
ner_8,2025-02-10T05:18:43.468431,user_1610,Andy Jassy of Alphabet Inc commented on strategy. $GOOG reacts to the news. Analysts: downgrade.,GOOG,Alphabet Inc,Andy Jassy
ner_9,2025-10-02T23:18:43.468431,user_63,Brian Moynihan of Alphabet Inc commented on strategy. $GOOG reacts to the news. Analysts: downgrade.,GOOG,Alphabet Inc,Brian Moynihan
ner_10,2025-03-29T23:18:43.468431,user_1207,Elon Musk of Microsoft Corporation commented on strategy. $MSFT reacts to the news. Analysts: downgrade.,MSFT,Microsoft Corporation,Elon Musk
ner_11,2025-08-27T16:18:43.468431,user_1635,Elon Musk of Walmart Inc commented on strategy. $WMT reacts to the news. Analysts: upgrade.,WMT,Walmart Inc,Elon Musk
ner_12,2025-01-30T08:18:43.468431,user_761,"Andy Jassy of Amazon.com, Inc commented on strategy. $AMZN reacts to the news. Analysts: upgrade.",AMZN,"Amazon.com, Inc",Andy Jassy
ner_13,2025-08-19T15:18:43.468431,user_559,Brian Moynihan of Microsoft Corporation commented on strategy. $MSFT reacts to the news. Analysts: hold.,MSFT,Microsoft Corporation,Brian Moynihan
ner_14,2024-12-27T21:18:43.468431,user_1319,Jamie Dimon of NVIDIA Corporation commented on strategy. $NVDA reacts to the news. Analysts: downgrade.,NVDA,NVIDIA Corporation,Jamie Dimon
ner_15,2025-01-26T08:18:43.468431,user_1871,Sundar Pichai of Alphabet Inc commented on strategy. $GOOG reacts to the news. Analysts: downgrade.,GOOG,Alphabet Inc,Sundar Pichai
ner_16,2025-02-22T13:18:43.468431,user_1443,Brian Moynihan of NVIDIA Corporation commented on strategy. $NVDA reacts to the news. Analysts: upgrade.,NVDA,NVIDIA Corporation,Brian Moynihan
ner_17,2025-09-19T07:18:43.468431,user_1465,Brian Moynihan of NVIDIA Corporation commented on strategy. $NVDA reacts to the news. Analysts: hold.,NVDA,NVIDIA Corporation,Brian Moynihan
ner_18,2025-11-11T05:18:43.468431,user_2783,"Elon Musk of Amazon.com, Inc commented on strategy. $AMZN reacts to the news. Analysts: upgrade.",AMZN,"Amazon.com, Inc",Elon Musk
ner_19,2025-01-20T12:18:43.468431,user_936,Brian Moynihan of Walmart Inc commented on strategy. $WMT reacts to the news. Analysts: upgrade.,WMT,Walmart Inc,Brian Moynihan
ner_20,2025-06-16T07:18:43.468431,user_1277,Mark Zuckerberg of Apple Inc commented on strategy. $AAPL reacts to the news. Analysts: downgrade.,AAPL,Apple Inc,Mark Zuckerberg
ner_21,2025-09-08T15:18:43.468431,user_2576,Andy Jassy of Apple Inc commented on strategy. $AAPL reacts to the news. Analysts: upgrade.,AAPL,Apple Inc,Andy Jassy
ner_22,2025-04-11T06:18:43.468431,user_1617,"Tim Cook of Tesla, Inc commented on strategy. $TSLA reacts to the news. Analysts: downgrade.",TSLA,"Tesla, Inc",Tim Cook
ner_23,2025-01-10T13:18:43.468431,user_1363,"Brian Moynihan of Amazon.com, Inc commented on strategy. $AMZN reacts to the news. Analysts: downgrade.",AMZN,"Amazon.com, Inc",Brian Moynihan
ner_24,2025-05-13T18:18:43.468431,user_1443,Andy Jassy of JPMorgan Chase & Co. commented on strategy. $JPM reacts to the news. Analysts: upgrade.,JPM,JPMorgan Chase & Co.,Andy Jassy
ner_25,2025-04-27T06:18:43.468431,user_286,"Mark Zuckerberg of Meta Platforms, Inc commented on strategy. $META reacts to the news. Analysts: upgrade.",META,"Meta Platforms, Inc",Mark Zuckerberg
ner_26,2025-11-07T07:18:43.468431,user_1374,"Brian Moynihan of Tesla, Inc commented on strategy. $TSLA reacts to the news. Analysts: upgrade.",TSLA,"Tesla, Inc",Brian Moynihan
ner_27,2025-01-20T09:18:43.468431,user_379,Elon Musk of JPMorgan Chase & Co. commented on strategy. $JPM reacts to the news. Analysts: downgrade.,JPM,JPMorgan Chase & Co.,Elon Musk
ner_28,2025-03-13T15:18:43.468431,user_2924,"Warren Buffett of Meta Platforms, Inc commented on strategy. $META reacts to the news. Analysts: hold.",META,"Meta Platforms, Inc",Warren Buffett
ner_29,2025-06-21T04:18:43.468431,user_203,Warren Buffett of Alphabet Inc commented on strategy. $GOOG reacts to the news. Analysts: upgrade.,GOOG,Alphabet Inc,Warren Buffett
ner_30,2025-10-27T01:18:43.469440,user_561,"Satya Nadella of Meta Platforms, Inc commented on strategy. $META reacts to the news. Analysts: upgrade.",META,"Meta Platforms, Inc",Satya Nadella
ner_31,2025-01-22T22:18:43.469440,user_2603,Andy Jassy of Bank of America Corporation commented on strategy. $BAC reacts to the news. Analysts: hold.,BAC,Bank of America Corporation,Andy Jassy
ner_32,2024-11-16T09:18:43.469440,user_2042,Mark Zuckerberg of NVIDIA Corporation commented on strategy. $NVDA reacts to the news. Analysts: hold.,NVDA,NVIDIA Corporation,Mark Zuckerberg
ner_33,2025-01-29T00:18:43.469440,user_126,"Jensen Huang of Amazon.com, Inc commented on strategy. $AMZN reacts to the news. Analysts: upgrade.",AMZN,"Amazon.com, Inc",Jensen Huang
ner_34,2024-12-04T13:18:43.469440,user_2987,Tim Cook of Walmart Inc commented on strategy. $WMT reacts to the news. Analysts: hold.,WMT,Walmart Inc,Tim Cook
ner_35,2025-07-01T02:18:43.469440,user_1097,Warren Buffett of NVIDIA Corporation commented on strategy. $NVDA reacts to the news. Analysts: upgrade.,NVDA,NVIDIA Corporation,Warren Buffett
ner_36,2025-02-27T00:18:43.469440,user_2002,"Mark Zuckerberg of Amazon.com, Inc commented on strategy. $AMZN reacts to the news. Analysts: hold.",AMZN,"Amazon.com, Inc",Mark Zuckerberg
ner_37,2025-09-30T09:18:43.469440,user_1649,"Warren Buffett of Amazon.com, Inc commented on strategy. $AMZN reacts to the news. Analysts: hold.",AMZN,"Amazon.com, Inc",Warren Buffett
ner_38,2025-05-02T13:18:43.469440,user_842,Satya Nadella of Bank of America Corporation commented on strategy. $BAC reacts to the news. Analysts: downgrade.,BAC,Bank of America Corporation,Satya Nadella
ner_39,2025-03-26T01:18:43.469440,user_355,Mark Zuckerberg of Microsoft Corporation commented on strategy. $MSFT reacts to the news. Analysts: upgrade.,MSFT,Microsoft Corporation,Mark Zuckerberg
ner_40,2025-06-05T20:18:43.469440,user_62,"Tim Cook of Tesla, Inc commented on strategy. $TSLA reacts to the news. Analysts: downgrade.",TSLA,"Tesla, Inc",Tim Cook
ner_41,2025-01-17T19:18:43.469440,user_1784,"Andy Jassy of Amazon.com, Inc commented on strategy. $AMZN reacts to the news. Analysts: hold.",AMZN,"Amazon.com, Inc",Andy Jassy
ner_42,2025-03-12T20:18:43.469440,user_2533,"Elon Musk of Tesla, Inc commented on strategy. $TSLA reacts to the news. Analysts: hold.",TSLA,"Tesla, Inc",Elon Musk
ner_43,2025-02-04T15:18:43.469440,user_1977,"Mark Zuckerberg of Amazon.com, Inc commented on strategy. $AMZN reacts to the news. Analysts: upgrade.",AMZN,"Amazon.com, Inc",Mark Zuckerberg
ner_44,2024-11-25T16:18:43.469440,user_2040,Sundar Pichai of JPMorgan Chase & Co. commented on strategy. $JPM reacts to the news. Analysts: upgrade.,JPM,JPMorgan Chase & Co.,Sundar Pichai
ner_45,2025-04-28T04:18:43.469440,user_1052,Warren Buffett of Alphabet Inc commented on strategy. $GOOG reacts to the news. Analysts: hold.,GOOG,Alphabet Inc,Warren Buffett
ner_46,2025-05-05T23:18:43.469440,user_2861,Satya Nadella of Apple Inc commented on strategy. $AAPL reacts to the news. Analysts: upgrade.,AAPL,Apple Inc,Satya Nadella
ner_47,2025-05-20T16:18:43.469440,user_2299,"Andy Jassy of Tesla, Inc commented on strategy. $TSLA reacts to the news. Analysts: upgrade.",TSLA,"Tesla, Inc",Andy Jassy
ner_48,2024-12-16T07:18:43.469440,user_209,"Warren Buffett of Meta Platforms, Inc commented on strategy. $META reacts to the news. Analysts: upgrade.",META,"Meta Platforms, Inc",Warren Buffett
ner_49,2025-02-11T09:18:43.469440,user_2975,"Jamie Dimon of Amazon.com, Inc commented on strategy. $AMZN reacts to the news. Analysts: downgrade.",AMZN,"Amazon.com, Inc",Jamie Dimon
ner_50,2025-08-06T00:18:43.469440,user_220,Mark Zuckerberg of NVIDIA Corporation commented on strategy. $NVDA reacts to the news. Analysts: upgrade.,NVDA,NVIDIA Corporation,Mark Zuckerberg
ner_51,2025-04-14T02:18:43.469440,user_1376,Andy Jassy of Bank of America Corporation commented on strategy. $BAC reacts to the news. Analysts: downgrade.,BAC,Bank of America Corporation,Andy Jassy
ner_52,2025-06-21T09:18:43.469440,user_2560,Tim Cook of NVIDIA Corporation commented on strategy. $NVDA reacts to the news. Analysts: upgrade.,NVDA,NVIDIA Corporation,Tim Cook
ner_53,2025-09-26T12:18:43.469440,user_2637,Warren Buffett of JPMorgan Chase & Co. commented on strategy. $JPM reacts to the news. Analysts: downgrade.,JPM,JPMorgan Chase & Co.,Warren Buffett
ner_54,2025-03-24T22:18:43.469440,user_1668,Tim Cook of Apple Inc commented on strategy. $AAPL reacts to the news. Analysts: hold.,AAPL,Apple Inc,Tim Cook
ner_55,2024-11-23T04:18:43.469440,user_202,"Warren Buffett of Meta Platforms, Inc commented on strategy. $META reacts to the news. Analysts: upgrade.",META,"Meta Platforms, Inc",Warren Buffett
ner_56,2025-07-07T06:18:43.469440,user_2168,Warren Buffett of JPMorgan Chase & Co. commented on strategy. $JPM reacts to the news. Analysts: upgrade.,JPM,JPMorgan Chase & Co.,Warren Buffett
ner_57,2025-03-22T00:18:43.470431,user_254,Mark Zuckerberg of Bank of America Corporation commented on strategy. $BAC reacts to the news. Analysts: downgrade.,BAC,Bank of America Corporation,Mark Zuckerberg
ner_58,2024-12-05T00:18:43.470431,user_2539,"Warren Buffett of Tesla, Inc commented on strategy. $TSLA reacts to the news. Analysts: hold.",TSLA,"Tesla, Inc",Warren Buffett
ner_59,2025-01-22T06:18:43.470431,user_1973,Andy Jassy of JPMorgan Chase & Co. commented on strategy. $JPM reacts to the news. Analysts: downgrade.,JPM,JPMorgan Chase & Co.,Andy Jassy
ner_60,2025-07-06T16:18:43.470431,user_1416,"Warren Buffett of Amazon.com, Inc commented on strategy. $AMZN reacts to the news. Analysts: downgrade.",AMZN,"Amazon.com, Inc",Warren Buffett
ner_61,2025-04-16T14:18:43.470431,user_2051,Mark Zuckerberg of Walmart Inc commented on strategy. $WMT reacts to the news. Analysts: downgrade.,WMT,Walmart Inc,Mark Zuckerberg
ner_62,2024-11-30T11:18:43.470431,user_281,Tim Cook of Microsoft Corporation commented on strategy. $MSFT reacts to the news. Analysts: upgrade.,MSFT,Microsoft Corporation,Tim Cook
ner_63,2025-02-24T11:18:43.470431,user_2557,Elon Musk of Apple Inc commented on strategy. $AAPL reacts to the news. Analysts: downgrade.,AAPL,Apple Inc,Elon Musk
ner_64,2025-06-26T20:18:43.470431,user_801,Mark Zuckerberg of Microsoft Corporation commented on strategy. $MSFT reacts to the news. Analysts: downgrade.,MSFT,Microsoft Corporation,Mark Zuckerberg
ner_65,2025-09-24T08:18:43.470431,user_1871,"Sundar Pichai of Meta Platforms, Inc commented on strategy. $META reacts to the news. Analysts: upgrade.",META,"Meta Platforms, Inc",Sundar Pichai
ner_66,2025-04-16T10:18:43.470431,user_1108,Tim Cook of Alphabet Inc commented on strategy. $GOOG reacts to the news. Analysts: hold.,GOOG,Alphabet Inc,Tim Cook
ner_67,2025-06-26T02:18:43.470431,user_2036,Elon Musk of Apple Inc commented on strategy. $AAPL reacts to the news. Analysts: upgrade.,AAPL,Apple Inc,Elon Musk
ner_68,2025-07-30T06:18:43.470431,user_872,"Warren Buffett of Tesla, Inc commented on strategy. $TSLA reacts to the news. Analysts: hold.",TSLA,"Tesla, Inc",Warren Buffett
ner_69,2025-05-27T01:18:43.470431,user_1062,Elon Musk of Walmart Inc commented on strategy. $WMT reacts to the news. Analysts: upgrade.,WMT,Walmart Inc,Elon Musk
ner_70,2025-06-26T10:18:43.470431,user_2375,Jensen Huang of Apple Inc commented on strategy. $AAPL reacts to the news. Analysts: downgrade.,AAPL,Apple Inc,Jensen Huang
ner_71,2024-12-26T09:18:43.470431,user_1330,Warren Buffett of Alphabet Inc commented on strategy. $GOOG reacts to the news. Analysts: hold.,GOOG,Alphabet Inc,Warren Buffett
ner_72,2025-04-13T14:18:43.470431,user_2282,"Tim Cook of Tesla, Inc commented on strategy. $TSLA reacts to the news. Analysts: hold.",TSLA,"Tesla, Inc",Tim Cook
ner_73,2025-08-28T08:18:43.470431,user_2781,"Warren Buffett of Meta Platforms, Inc commented on strategy. $META reacts to the news. Analysts: downgrade.",META,"Meta Platforms, Inc",Warren Buffett
ner_74,2025-06-13T02:18:43.470431,user_827,Brian Moynihan of Bank of America Corporation commented on strategy. $BAC reacts to the news. Analysts: upgrade.,BAC,Bank of America Corporation,Brian Moynihan
ner_75,2025-03-01T12:18:43.470431,user_242,Elon Musk of NVIDIA Corporation commented on strategy. $NVDA reacts to the news. Analysts: downgrade.,NVDA,NVIDIA Corporation,Elon Musk
ner_76,2025-02-03T19:18:43.470431,user_542,"Tim Cook of Meta Platforms, Inc commented on strategy. $META reacts to the news. Analysts: hold.",META,"Meta Platforms, Inc",Tim Cook
